,Area,BHK,Bathroom,Locality,Price
344,2475.0,3,3.0,"Yamuna Vihar, Shahdara",70000000
345,2970.0,7,4.0,"Yamuna Vihar, Shahdara",26500000
346,2250.0,3,2.0,"Yamuna Vihar, Shahdara",18500000
347,1500.0,5,3.0,"Yamuna Vihar, Shahdara",30000000
348,1512.0,2,2.0,"Yamuna Vihar, Shahdara",22000000
349,400.0,2,2.0,other,9000000
350,2160.0,3,3.0,"Yamuna Vihar, Shahdara",65000000
351,630.0,3,2.0,"Yamuna Vihar, Shahdara",22500000
352,324.0,6,3.0,"Yamuna Vihar, Shahdara",8700000
353,720.0,6,5.0,"Yamuna Vihar, Shahdara",22000000
354,675.0,4,2.0,"Yamuna Vihar, Shahdara",18500000
355,700.0,2,1.0,"Yamuna Vihar, Shahdara",16000000
356,675.0,4,3.0,"Yamuna Vihar, Shahdara",16000000
357,720.0,4,2.0,"Yamuna Vihar, Shahdara",9000000
358,850.0,2,2.0,"Jyoti Colony, Shahdara",4500000
359,801.0,3,2.0,Laxmi Nagar,6000000
360,450.0,1,2.0,Laxmi Nagar,2700000
361,1000.0,3,2.0,Laxmi Nagar,6500000
362,990.0,3,2.0,Laxmi Nagar,4000000
363,420.0,2,1.0,Laxmi Nagar,2600000
364,450.0,2,1.0,Laxmi Nagar,3500000
365,1000.0,2,2.0,Laxmi Nagar,7500000
366,900.0,3,2.0,Laxmi Nagar,7000000
367,800.0,3,2.0,Laxmi Nagar,4500000
368,720.0,3,3.0,Laxmi Nagar,5500000
369,450.0,2,1.0,Laxmi Nagar,2700000
370,675.0,2,2.0,Laxmi Nagar,2400000
371,1700.0,4,3.0,Laxmi Nagar,11500000
372,550.0,2,2.0,"Guru Angad Nagar West, Laxmi Nagar",3600000
373,387.0,1,2.0,"Guru Angad Nagar West, Laxmi Nagar",1700000
374,450.0,2,1.0,"Lalita Park, Laxmi Nagar",2500000
375,900.0,4,2.0,Laxmi Nagar,6600000
376,500.0,2,1.0,Laxmi Nagar,3700000
377,441.0,2,1.0,other,3500000
378,800.0,3,2.0,"Lalita Park, Laxmi Nagar",5400000
379,450.0,2,2.0,other,2550000
380,1000.0,3,3.0,other,12500000
381,715.0,2,2.0,Laxmi Nagar,5600000
382,600.0,2,2.0,Laxmi Nagar,7000000
383,540.0,2,1.0,Laxmi Nagar,3500000
384,312.0,4,4.0,other,35000000
385,810.0,3,2.0,Laxmi Nagar,9000000
386,270.0,1,1.0,"Guru Angad Nagar West, Laxmi Nagar",2300000
387,900.0,3,2.0,Laxmi Nagar,6000000
388,1000.0,3,2.0,Laxmi Nagar,6000000
389,540.0,2,2.0,Uttam Nagar,2650000
390,950.0,3,2.0,"Uttam Nagar Floors, Uttam Nagar",4370000
391,1000.0,3,2.0,"Virat Residency, Dwarka Mor",4620000
392,540.0,2,2.0,"Adarsh Homes, Dwarka Mor",3000000
393,540.0,2,2.0,"Kushwaha Homes, Uttam Nagar",3300000
394,1000.0,3,2.0,"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510000
395,500.0,2,2.0,Dwarka Mor,3200000
396,540.0,2,2.0,Uttam Nagar West,2600000
397,780.0,3,2.0,Uttam Nagar,4000000
398,450.0,2,1.0,Uttam Nagar West,1850000
399,360.0,1,1.0,Uttam Nagar,1700000
400,900.0,3,2.0,"SB Residency, Dwarka Mor",2800000
401,495.0,2,2.0,Uttam Nagar West,2150000
402,1200.0,4,3.0,"SB Residency, Dwarka Mor",6800000
403,1000.0,3,2.0,Uttam Nagar,6200000
404,620.0,2,2.0,Uttam Nagar,3100000
405,680.0,3,2.0,Dwarka Mor,3400000
406,805.0,2,2.0,other,4000000
407,729.0,2,2.0,other,4800000
408,540.0,2,2.0,Uttam Nagar,2500000
409,360.0,1,1.0,Uttam Nagar,2000000
410,550.0,2,2.0,Uttam Nagar West,1900000
411,1001.0,3,2.0,other,5800000
412,450.0,2,2.0,Dwarka Mor,2900000
413,550.0,2,1.0,Uttam Nagar West,2000000
414,550.0,2,2.0,other,2600000
415,675.0,2,1.0,Uttam Nagar,2900000
416,585.0,2,2.0,Uttam Nagar,3200000
417,810.0,3,2.0,other,5400000
